publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Daedalic,0.27999999999999997,4,0.09333333333333334,0.11,3,1,2,0.014144691180226081,0
Global Star Software,0.27999999999999997,36,0.034999999999999996,0,8,7,10,0.027096242912208798,0
Bold Games,0.27,8,0.038571428571428576,0.01,3,3,4,0.009153943065007764,0
Liquid Games,0.27,5,0.135,0.135,3,3,3,0.021661725694698004,0
MLB.com,0.27,15,0.054,0.04,5,8,2,0.07230350858569688,0
Syscom,0.27,6,0.135,0.135,5,3,3,0.04179504791420038,0
Telstar,0.27,8,0.09,0.08,4,3,5,0.06522270407488746,0
Vic Tokai,0.27,2,0.135,0.135,2,2,1,0.0612208044218967,0
Aquaplus,0.26,12,0.037142857142857144,0.04,10,7,4,0.01436431291406801,0
Nippon Telenet,0.26,29,0.13,0.13,10,6,8,0.11842404919152812,0
Pacific Century Cyber Works,0.26,7,0.26,0.26,3,3,4,0.06139025311673593,0
Vir2L Studios,0.26,3,0.08666666666666667,0.07,2,2,3,0.01633647420128776,0
Axela,0.25,2,0.25,0.25,2,2,2,0.08573094201159082,0
Essential Games,0.25,11,0.0625,0.03,3,1,4,0.007227076262595893,0
Paon,0.25,10,0.041666666666666664,0.03,4,5,2,0.010579509277548147,0
inXile Entertainment,0.25,19,0.08333333333333334,0.1,10,9,5,2.3620187473855956,0
O3 Entertainment,0.24,8,0.04,0.015,4,4,5,0.01195598728150821,0
Wired Productions,0.24,27,0.024,0.02,5,4,7,0.07237327672623488,0
Xing Entertainment,0.24,25,0.24,0.24,11,5,9,0.10845496859324869,0
Alternative Software,0.23,8,0.02875,0.025,4,6,3,0.059531235178051735,0
American Softworks,0.23,8,0.23,0.23,5,4,3,0.10475973582327489,0
Asmik Ace Entertainment,0.23,35,0.0575,0.065,18,11,10,0.034412606708217004,0
Detn8 Games,0.23,1,0.23,0.23,1,1,1,0.03534492032025571,0
System 3,0.23,10,0.0575,0.030000000000000002,4,7,5,0.03601219734006049,0
Daito,0.22999999999999998,6,0.057499999999999996,0.045,3,2,1,0.04134162562461804,0
CCP,0.22,5,0.22,0.22,3,2,2,0.05441369246370359,0
Gameloft,0.22,75,0.11,0.11,12,9,10,0.014997835553159033,0
Simon & Schuster Interactive,0.22,25,0.11,0.11,9,7,7,0.02664591585171103,0
Thomas Happ Games,0.22,7,0.07333333333333333,0.04,3,6,2,0.05297135006113634,0
Tommo,0.21000000000000002,7,0.042,0.04,3,3,4,0.01785470666518805,0
WayForward Technologies,0.21000000000000002,26,0.07,0.06,9,9,4,0.05764634879293436,0
Mercury Games,0.21,6,0.035,0.04,3,2,4,0.0153834193097019,0
On Demand,0.21,1,0.21,0.21,1,1,1,0.0948980975190926,0
Funcom,0.2,22,0.1,0.1,13,6,4,0.022249954187800975,0
Funsta,0.2,4,0.05,0.03,2,3,2,0.015541174206034725,0
Gamecock,0.2,7,0.05,0.055,3,6,5,0.02683555173894375,0
Merscom LLC,0.2,9,0.1,0.1,6,1,5,0.02771733858114943,0
Micro Cabin,0.2,24,0.06666666666666667,0.08,12,9,6,0.03350228336040924,0
Planet Entertainment,0.2,3,0.06666666666666667,0.07,1,1,2,0.13517166801838337,0
Devolver Digital,0.19,127,0.0475,0.03,14,12,11,0.02207899981851712,0
Happinet,0.19,8,0.027142857142857146,0.02,5,2,6,0.01691449782723554,0
Media Works,0.19,17,0.03166666666666667,0.03,9,6,5,0.008782571725179704,0
Phenomedia,0.19,6,0.038,0.05,5,3,5,0.011190713015071633,0
SSI,0.19,70,0.19,0.19,17,3,7,0.08654065133227055,0
Capcom Entertainment,0.18000000000000002,4,0.09000000000000001,0.09000000000000001,2,4,2,0.12165450121654504,0
DHM Interactive,0.18,5,0.06,0.04,2,4,3,0.01193180035988714,0
Dramatic Create,0.18,22,0.008571428571428572,0.01,6,3,4,0.02222826428719108,0
Gaijinworks,0.18,3,0.09,0.09,2,3,1,0.09378907878282618,0
Sunrise Interactive,0.18,23,0.030000000000000002,0.02,11,10,6,0.016981415978678853,0
Adeline Software,0.17,1,0.17,0.17,1,1,1,0.07743110908676838,0
Asmik Corp,0.17,11,0.085,0.085,7,4,6,0.08177531347219183,0
Daedalic Entertainment,0.17,43,0.0425,0.035,9,9,7,0.021781437018092733,0
Entergram,0.17,39,0.0085,0.01,4,4,4,0.03403367826543501,0
Global A Entertainment,0.17,34,0.024285714285714285,0.01,10,6,7,0.006812203955062119,0
PM Studios,0.17,16,0.024285714285714285,0.01,7,5,7,0.017196268964985884,0
Panther Software,0.17,5,0.17,0.17,4,3,4,0.1559346908824069,0
Tivola,0.17,23,0.05666666666666667,0.05,4,3,3,0.013323231410705082,0
Xicat Interactive,0.16999999999999998,17,0.056666666666666664,0.03,4,6,9,0.027359347658123628,0
Aques,0.16,4,0.16,0.16,2,1,2,0.07230331239549913,0
